id_hotel,nombre,url_principal,ciudad,pais,latitud,longitud,url_2,url_3,url_4,url_5,url_6,url_7,url_8,url_9,url_10
530816190,,,,Brasil,-15.8642837,-48.952865,,,,,,,,,
530907349,Casarão de Pedra,,,Brasil,-14.1812609,-39.3177438,,,,,,,,,
549095630,Atlantico,,,Brasil,2.4932301,-50.9500007,,,,,,,,,
557558551,Bandeirantes,,,Brasil,-22.9707403,-43.1890821,,,,,,,,,
557558655,Toledo,,,Brasil,-22.9714357,-43.1855373,,,,,,,,,
560387277,,,,Brasil,-19.9163327,-43.9364032,,,,,,,,,
591764054,,,,Brasil,-22.4642969,-44.4413128,,,,,,,,,
619051321,Praia Porto da Barra,,,Brasil,-13.0039449,-38.532771,,,,,,,,,
619074874,Hotel Praia de Guarajuba,,,Brasil,-12.6509509,-38.0820373,,,,,,,,,
621484491,Sunshine,,,Brasil,-22.8203808,-43.1906309,,,,,,,,,
633064637,,,,Brasil,-20.8341001,-40.6244838,,,,,,,,,
640118631,Rio Jordao,,,Brasil,-19.9157679,-43.9376069,,,,,,,,,
704992216,Caxambú,,Rio de Janeiro,Brasil,-22.9280591,-43.174687,,,,,,,,,
716375960,Pousada Fazenda,,Camaçari,Brasil,-12.7760033,-38.1810984,,,,,,,,,
