id,node_type,internet_access,air_conditioning,hot_water,swimming_pool,laundry,kitchen,breakfast,toilets,wheelchair,check_in,check_out,rooms,beds
1678688997,node,wlan,yes,,,,,,,,,,71,
1679998257,node,,,,,,,,,,,,,
1681898804,node,yes,,,,,,,,,,,,
1683615044,node,,,,,,,,,,,,,
1683615055,node,,,,,,,,,,,,,
1684104988,node,,,,,,,,,,,,,
1684104989,node,wlan,,,,,,,,yes,,,80,
1684104990,node,wlan,yes,,,,,,,yes,,,90,
1684104992,node,,,,,,,,,,,,,
1684104994,node,,,,,,,,,,,,,
1686097914,node,,,,,,,,,,,,,
1686097920,node,,,,,,,,,,,,,
1686183763,node,wlan,,,,,,,,yes,,,125,
1686183765,node,wlan,yes,,,,,,,yes,,,105,
1686183780,node,wlan,yes,,,,,,,,,,51,
1686183796,node,yes,yes,,,,,,,,,,49,
1686183801,node,,,,,,,,,,,,,
1686231017,node,,,,,,,,,,,,,
1686470406,node,,,,,,,,,,,,,
1686470407,node,,,,,,,,,,,,,
1694043535,node,,,,,,,,,,,,,
1696998562,node,,,,,,,,,,,,,
1700061285,node,wlan,,,,,,,,,,,,
1700527761,node,,,,,,,,,,,,,
1701920258,node,,,,,,,,,,,,,
1702714513,node,wlan,,,,,,,,,,,,
1703636349,node,,,,,,,,,,,,,
1703835642,node,,,,,,,,,,,,,
1704900296,node,,,,,,,,,,,,,
1704908337,node,,,,,,,,,,,,,
1705334173,node,,,,,,,,,,,,,
1707410876,node,,,,,,,,,,,,,
1707714881,node,,,,,,,,,,,,,
1707752513,node,,,,,,,,,,,,,
1709022717,node,,,,,,,,,,,,,
1709167705,node,,,,,,,,,,,,,
1709167706,node,,,,,,,,,,,,,
1710783906,node,,,,,,,,,,,,,
1710783923,node,,,,,,,,,,,,,
1711855777,node,,,,,,,,,,,,,
1712131932,node,,,,,,,,,,,,,
1712153042,node,,,,,,,,,,,,,
1713491711,node,,,,,,,,,,,,,
1719089025,node,,,,,,,,,,,,,
1719089066,node,,,,,,,,,,,,,
1719089091,node,,,,,,,,,,,,,
1719309730,node,,,,,,,,,,,,,
1721116012,node,,,,,,,,,,,,,
1721504679,node,yes,,,,,,,,yes,,,,
1721711749,node,no,,,,,,,,,,,,
1722085549,node,,,,,,,,,,,,,
1722436811,node,,,,,,,,,,,,,
1722539539,node,,,,,,,,,,,,,
1728270932,node,,,,,,,,,,,,,
1734181681,node,wlan,yes,,,,,,,yes,,,,
1734310905,node,,,,,,,,,,,,,
1737895067,node,,,,,,,,,,,,,
1740672508,node,,,,,,,,,,,,,
1744351447,node,,,,,,,,,,,,,
1748685667,node,,,,,,,,,,,,,
1752127945,node,,,,,,,,,,,,,
1754424948,node,,,,,,,,,,,,,
1768765297,node,,,,,,,,,,,,,
1768768593,node,,,,,,,,,,,,,
1770114476,node,,,,,,,,,,,,,
1770114478,node,wlan,,,,,,,,,,,267,
1770114480,node,wlan,,,,,,,,yes,,,,
1770114965,node,,,,,,,,,,,,,
1776231751,node,,,,,,,,,,,,,
1784994137,node,,,,,,,,,,,,,
1786358195,node,,,,,,,,,,,,,
1786771621,node,wlan,yes,,yes,,,,,,,,67,
1786771624,node,wlan,yes,,,,,,,,,,217,
1793813393,node,,,,,,,,,,,,,
1798720915,node,,,,,,,,,,,,,
1798720946,node,,,,,,,,,,,,,
1798802878,node,wlan,yes,,,,,,,yes,,,130,
1798802879,node,wlan,,,outdoor,,,,,yes,,,219,
1798887775,node,,,,,,,,,,,,,
1798898044,node,,,,,,,,,,,,,
1801327703,node,,,,,,,,,,,,,
1811246977,node,,,,,,,,,,,,,
1815438108,node,,,,,,,,,,,,,
1824764184,node,,,,,,,,,,,,,
1825422775,node,,,,,,,,,,,,,
1834294242,node,,,,,,,,,,,,,
1834476360,node,wlan,yes,,,,,,,,,,22,
1835508689,node,,,,yes,,,,,yes,,,32,
1835993687,node,,,,,,,,,,,,,
1835993693,node,,,,,,,,,,,,,
1835993701,node,,,,,,,,,,,,,
1835993743,node,,,,,,,,,,,,,
1835993774,node,,,,,,,,,,,,,
1835993779,node,,,,,,,,,,,,,
1835993789,node,,,,,,,,,,,,,
1836065320,node,,,,,,,,,,,,,
1837188289,node,,,,,,,,,,,,,
1854633576,node,,,,,,,,,,,,,
1854633591,node,,,,,,,,,,,,,
1855865239,node,,,,,,,,,,,,,
1859392041,node,,,,,,,,,,,,,
1864178673,node,,,,,,,,,,,,,
1865183504,node,,,,,,,,,,,,,
1868458720,node,,,,,,,,,,,,,
1869213840,node,,,,,,,,,,,,,
1870397758,node,,,,,,,,,,,,,
1870928857,node,,,,,,,,,,,,,
1872993029,node,,,,,,,,,,,,,
1873781045,node,,,,,,,,,,,,,
1873781068,node,,,,,,,,,yes,,,,
1873781098,node,,,,,,,,,,,,,
1873781105,node,,,,,,,,,,,,,
1873781112,node,wlan,,,,,,,,,,,,
1873781113,node,,,,,,,,,,,,,
1873781170,node,,,,,,,,,,,,,
1873781181,node,,,,,,,,,,,,,
1873781198,node,,,,,,,,,,,,,
1873781200,node,,,,,,,,,no,,,,
